,congestion price ($/MW),flow (MW)
DC_BGE_PEP_to_PA_METED_PPL-1,3286.72,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-2,2.34,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-3,3.55,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-4,10.86,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-5,4.52,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-6,8.43,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-7,2.69,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-8,13.18,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-9,3384.32,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-10,3383.60,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-11,3384.27,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-12,20.08,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-13,7.65,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-14,7.29,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-15,2.45,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-16,2.45,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-17,2.00,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-18,1.10,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-19,9.46,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-20,28.90,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-21,12.17,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-22,17.65,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-23,16.84,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-24,0,-2100.00
DC_BGE_PEP_to_VA_DOM-1,0,-3800.00
DC_BGE_PEP_to_VA_DOM-2,0,-3800.00
DC_BGE_PEP_to_VA_DOM-3,0,-3566.61
DC_BGE_PEP_to_VA_DOM-4,0,-3031.74
DC_BGE_PEP_to_VA_DOM-5,0,-2973.45
DC_BGE_PEP_to_VA_DOM-6,0,-3031.67
DC_BGE_PEP_to_VA_DOM-7,0,-3515.30
DC_BGE_PEP_to_VA_DOM-8,0,-3936.84
DC_BGE_PEP_to_VA_DOM-9,0,-4390.61
DC_BGE_PEP_to_VA_DOM-10,0,-4165.59
DC_BGE_PEP_to_VA_DOM-11,0,-4461.03
DC_BGE_PEP_to_VA_DOM-12,0,-3991.07
DC_BGE_PEP_to_VA_DOM-13,0,-3300.92
DC_BGE_PEP_to_VA_DOM-14,0,-2729.68
DC_BGE_PEP_to_VA_DOM-15,0,-2693.99
DC_BGE_PEP_to_VA_DOM-16,0,-2807.09
DC_BGE_PEP_to_VA_DOM-17,0,-2583.62
DC_BGE_PEP_to_VA_DOM-18,0,-3196.91
DC_BGE_PEP_to_VA_DOM-19,0,-3361.76
DC_BGE_PEP_to_VA_DOM-20,0,-4078.12
DC_BGE_PEP_to_VA_DOM-21,0,-3838.63
DC_BGE_PEP_to_VA_DOM-22,0,-3476.93
DC_BGE_PEP_to_VA_DOM-23,0,-3002.99
DC_BGE_PEP_to_VA_DOM-24,0,-3363.73
EAST_to_DC_BGE_PEP-1,-3288.50,0
EAST_to_DC_BGE_PEP-2,-3.27,0
EAST_to_DC_BGE_PEP-3,-4.48,0
EAST_to_DC_BGE_PEP-4,-11.80,0
EAST_to_DC_BGE_PEP-5,-5.45,0
EAST_to_DC_BGE_PEP-6,-9.36,0
EAST_to_DC_BGE_PEP-7,-4.48,0
EAST_to_DC_BGE_PEP-8,-13.26,0
EAST_to_DC_BGE_PEP-9,-3385.25,0
EAST_to_DC_BGE_PEP-10,-3384.53,0
EAST_to_DC_BGE_PEP-11,-3385.20,0
EAST_to_DC_BGE_PEP-12,-21.01,0
EAST_to_DC_BGE_PEP-13,-7.65,0
EAST_to_DC_BGE_PEP-14,-7.29,0
EAST_to_DC_BGE_PEP-15,-2.45,0
EAST_to_DC_BGE_PEP-16,-2.45,0
EAST_to_DC_BGE_PEP-17,-2.00,0
EAST_to_DC_BGE_PEP-18,-1.10,0
EAST_to_DC_BGE_PEP-19,-9.46,0
EAST_to_DC_BGE_PEP-20,-29.84,0
EAST_to_DC_BGE_PEP-21,-13.10,0
EAST_to_DC_BGE_PEP-22,-17.65,0
EAST_to_DC_BGE_PEP-23,-16.84,0
EAST_to_DC_BGE_PEP-24,-1.66,0
EAST_to_PA_METED_PPL-1,-1.79,6200.00
EAST_to_PA_METED_PPL-2,-0.93,6200.00
EAST_to_PA_METED_PPL-3,-0.93,6200.00
EAST_to_PA_METED_PPL-4,-0.93,6200.00
EAST_to_PA_METED_PPL-5,-0.93,6200.00
EAST_to_PA_METED_PPL-6,-0.93,6200.00
EAST_to_PA_METED_PPL-7,-1.79,6200.00
EAST_to_PA_METED_PPL-8,-0.07,6200.00
EAST_to_PA_METED_PPL-9,-0.93,6200.00
EAST_to_PA_METED_PPL-10,-0.93,6200.00
EAST_to_PA_METED_PPL-11,-0.93,6200.00
EAST_to_PA_METED_PPL-12,-0.93,6200.00
EAST_to_PA_METED_PPL-13,0,6167.06
EAST_to_PA_METED_PPL-14,0,5898.35
EAST_to_PA_METED_PPL-15,0,5642.02
EAST_to_PA_METED_PPL-16,0,5430.89
EAST_to_PA_METED_PPL-17,0,5322.57
EAST_to_PA_METED_PPL-18,0,5489.06
EAST_to_PA_METED_PPL-19,0,6110.02
EAST_to_PA_METED_PPL-20,-0.93,6200.00
EAST_to_PA_METED_PPL-21,-0.93,6200.00
EAST_to_PA_METED_PPL-22,0,6191.79
EAST_to_PA_METED_PPL-23,0,6031.38
EAST_to_PA_METED_PPL-24,-1.66,6200.00
EAST_to_VA_DOM-1,-3288.50,0
EAST_to_VA_DOM-2,-3.27,0
EAST_to_VA_DOM-3,-4.48,0
EAST_to_VA_DOM-4,-11.80,0
EAST_to_VA_DOM-5,-5.45,0
EAST_to_VA_DOM-6,-9.36,0
EAST_to_VA_DOM-7,-4.48,0
EAST_to_VA_DOM-8,-13.26,0
EAST_to_VA_DOM-9,-3385.25,0
EAST_to_VA_DOM-10,-3384.53,0
EAST_to_VA_DOM-11,-3385.20,0
EAST_to_VA_DOM-12,-21.01,0
EAST_to_VA_DOM-13,-7.65,0
EAST_to_VA_DOM-14,-7.29,0
EAST_to_VA_DOM-15,-2.45,0
EAST_to_VA_DOM-16,-2.45,0
EAST_to_VA_DOM-17,-2.00,0
EAST_to_VA_DOM-18,-1.10,0
EAST_to_VA_DOM-19,-9.46,0
EAST_to_VA_DOM-20,-29.84,0
EAST_to_VA_DOM-21,-13.10,0
EAST_to_VA_DOM-22,-17.65,0
EAST_to_VA_DOM-23,-16.84,0
EAST_to_VA_DOM-24,-1.66,0
EAST_to_WEST-1,-3288.50,0
EAST_to_WEST-2,-3.27,0
EAST_to_WEST-3,-4.48,0
EAST_to_WEST-4,-11.80,0
EAST_to_WEST-5,-5.45,0
EAST_to_WEST-6,-9.36,0
EAST_to_WEST-7,-4.48,0
EAST_to_WEST-8,-13.26,0
EAST_to_WEST-9,-3385.25,0
EAST_to_WEST-10,-3384.53,0
EAST_to_WEST-11,-3385.20,0
EAST_to_WEST-12,-21.01,0
EAST_to_WEST-13,-7.65,0
EAST_to_WEST-14,-7.29,0
EAST_to_WEST-15,-2.45,0
EAST_to_WEST-16,-2.45,0
EAST_to_WEST-17,-2.00,0
EAST_to_WEST-18,-1.10,0
EAST_to_WEST-19,-9.46,0
EAST_to_WEST-20,-29.84,0
EAST_to_WEST-21,-13.10,0
EAST_to_WEST-22,-17.65,0
EAST_to_WEST-23,-16.84,0
EAST_to_WEST-24,-1.66,0
VA_DOM_to_PA_METED_PPL-1,3286.72,0
VA_DOM_to_PA_METED_PPL-2,2.34,0
VA_DOM_to_PA_METED_PPL-3,3.55,0
VA_DOM_to_PA_METED_PPL-4,10.86,0
VA_DOM_to_PA_METED_PPL-5,4.52,0
VA_DOM_to_PA_METED_PPL-6,8.43,0
VA_DOM_to_PA_METED_PPL-7,2.69,0
VA_DOM_to_PA_METED_PPL-8,13.18,0
VA_DOM_to_PA_METED_PPL-9,3384.32,0
VA_DOM_to_PA_METED_PPL-10,3383.60,0
VA_DOM_to_PA_METED_PPL-11,3384.27,0
VA_DOM_to_PA_METED_PPL-12,20.08,0
VA_DOM_to_PA_METED_PPL-13,7.65,0
VA_DOM_to_PA_METED_PPL-14,7.29,0
VA_DOM_to_PA_METED_PPL-15,2.45,0
VA_DOM_to_PA_METED_PPL-16,2.45,0
VA_DOM_to_PA_METED_PPL-17,2.00,0
VA_DOM_to_PA_METED_PPL-18,1.10,0
VA_DOM_to_PA_METED_PPL-19,9.46,0
VA_DOM_to_PA_METED_PPL-20,28.90,0
VA_DOM_to_PA_METED_PPL-21,12.17,0
VA_DOM_to_PA_METED_PPL-22,17.65,0
VA_DOM_to_PA_METED_PPL-23,16.84,0
VA_DOM_to_PA_METED_PPL-24,0,0
WEST_to_DC_BGE_PEP-1,0,-2997.10
WEST_to_DC_BGE_PEP-2,0,-2805.87
WEST_to_DC_BGE_PEP-3,0,-2512.12
WEST_to_DC_BGE_PEP-4,0,-2196.08
WEST_to_DC_BGE_PEP-5,0,-1981.98
WEST_to_DC_BGE_PEP-6,0,-2139.78
WEST_to_DC_BGE_PEP-7,0,-2322.59
WEST_to_DC_BGE_PEP-8,0,-3092.12
WEST_to_DC_BGE_PEP-9,0,-3577.47
WEST_to_DC_BGE_PEP-10,0,-3258.11
WEST_to_DC_BGE_PEP-11,0,-4193.96
WEST_to_DC_BGE_PEP-12,0,-3326.60
WEST_to_DC_BGE_PEP-13,0,-2512.93
WEST_to_DC_BGE_PEP-14,0,-1732.50
WEST_to_DC_BGE_PEP-15,0,-1334.80
WEST_to_DC_BGE_PEP-16,0,-1237.86
WEST_to_DC_BGE_PEP-17,0,-1086.89
WEST_to_DC_BGE_PEP-18,0,-1895.97
WEST_to_DC_BGE_PEP-19,0,-2425.43
WEST_to_DC_BGE_PEP-20,0,-3401.66
WEST_to_DC_BGE_PEP-21,0,-3177.91
WEST_to_DC_BGE_PEP-22,0,-2947.14
WEST_to_DC_BGE_PEP-23,0,-2412.45
WEST_to_DC_BGE_PEP-24,0,-2239.18
WEST_to_PA_METED_PPL-1,3286.72,-4450.00
WEST_to_PA_METED_PPL-2,2.34,-4450.00
WEST_to_PA_METED_PPL-3,3.55,-4450.00
WEST_to_PA_METED_PPL-4,10.86,-4450.00
WEST_to_PA_METED_PPL-5,4.52,-4450.00
WEST_to_PA_METED_PPL-6,8.43,-4450.00
WEST_to_PA_METED_PPL-7,2.69,-4450.00
WEST_to_PA_METED_PPL-8,13.18,-3400.00
WEST_to_PA_METED_PPL-9,3384.32,-3400.00
WEST_to_PA_METED_PPL-10,3383.60,-3400.00
WEST_to_PA_METED_PPL-11,3384.27,-3400.00
WEST_to_PA_METED_PPL-12,20.08,-3400.00
WEST_to_PA_METED_PPL-13,7.65,-3400.00
WEST_to_PA_METED_PPL-14,7.29,-3400.00
WEST_to_PA_METED_PPL-15,2.45,-3400.00
WEST_to_PA_METED_PPL-16,2.45,-3400.00
WEST_to_PA_METED_PPL-17,2.00,-3400.00
WEST_to_PA_METED_PPL-18,1.10,-3400.00
WEST_to_PA_METED_PPL-19,9.46,-3400.00
WEST_to_PA_METED_PPL-20,28.90,-3400.00
WEST_to_PA_METED_PPL-21,12.17,-3400.00
WEST_to_PA_METED_PPL-22,17.65,-3400.00
WEST_to_PA_METED_PPL-23,16.84,-3400.00
WEST_to_PA_METED_PPL-24,0,-4348.96
WEST_to_VA_DOM-1,0,4553.93
WEST_to_VA_DOM-2,0,4484.34
WEST_to_VA_DOM-3,0,4600.00
WEST_to_VA_DOM-4,0,4600.00
WEST_to_VA_DOM-5,0,4600.00
WEST_to_VA_DOM-6,0,4600.00
WEST_to_VA_DOM-7,0,4600.00
WEST_to_VA_DOM-8,0,3600.00
WEST_to_VA_DOM-9,0,3600.00
WEST_to_VA_DOM-10,0,3600.00
WEST_to_VA_DOM-11,0,3600.00
WEST_to_VA_DOM-12,0,3600.00
WEST_to_VA_DOM-13,0,3600.00
WEST_to_VA_DOM-14,0,3600.00
WEST_to_VA_DOM-15,0,3600.00
WEST_to_VA_DOM-16,0,3600.00
WEST_to_VA_DOM-17,0,3600.00
WEST_to_VA_DOM-18,0,3600.00
WEST_to_VA_DOM-19,0,3600.00
WEST_to_VA_DOM-20,0,3600.00
WEST_to_VA_DOM-21,0,3600.00
WEST_to_VA_DOM-22,0,3600.00
WEST_to_VA_DOM-23,0,3600.00
WEST_to_VA_DOM-24,0,4600.00
