timepoint,zone,gross_load,wind_cf,solar_cf
1,EAST,19139.93597,0.481857113,0
2,EAST,18671.07084,0.456739751,0
3,EAST,18348.5916,0.440935925,0
4,EAST,18270.16343,0.423252899,0
5,EAST,18324.84222,0.409201787,0
6,EAST,18496.03157,0.41295872,0
7,EAST,18824.17832,0.409262709,0
8,EAST,19321.96938,0.410283703,0
9,EAST,19832.33364,0.363200938,0.006256626
10,EAST,20161.73663,0.295501951,0.075876368
11,EAST,20364.40229,0.262083895,0.039045423
12,EAST,22204.2604,0.262714531,0.043238632
13,EAST,23895.26348,0.260696059,0.034929982
14,EAST,25564.97912,0.271471693,0.113202611
15,EAST,27270.8242,0.279723063,0.211138922
16,EAST,29085.74709,0.382972109,0.251024875
17,EAST,31035.87609,0.53505762,0.221631994
18,EAST,32513.91092,0.671329898,0
19,EAST,33757.2948,0.721171301,0
20,EAST,34096.56357,0.728735979,0
21,EAST,31106.29033,0.722283432,0
22,EAST,27187.24113,0.719103254,0
23,EAST,23236.58927,0.723729011,0
24,EAST,20986.91276,0.687010259,0
25,EAST,19139.93597,0.689964032,0
26,EAST,18671.07084,0.687260968,0
27,EAST,18348.5916,0.68181434,0
28,EAST,18270.16343,0.682787501,0
29,EAST,18324.84222,0.691157284,0
30,EAST,18496.03157,0.686956961,0
31,EAST,18824.17832,0.65148422,0
32,EAST,19321.96938,0.603276494,0
33,EAST,19832.33364,0.554984823,0.189203462
34,EAST,20161.73663,0.513002705,0.385337468
35,EAST,20364.40229,0.465492485,0.334269049
36,EAST,22204.2604,0.429304208,0.364100905
37,EAST,23895.26348,0.412034743,0.29143584
38,EAST,25564.97912,0.394493584,0.275601729
39,EAST,27270.8242,0.383460721,0.201304837
40,EAST,29085.74709,0.385321411,0.306263571
41,EAST,31035.87609,0.390685151,0.223590133
42,EAST,32513.91092,0.355510817,0
43,EAST,33757.2948,0.616926094,0
44,EAST,34096.56357,0.717938002,0
45,EAST,31106.29033,0.722104373,0
46,EAST,27187.24113,0.715494125,0
47,EAST,23236.58927,0.710535158,0
48,EAST,20986.91276,0.696127173,0
1,WEST,51051.64417,0.481857113,0
2,WEST,49801.04773,0.456739751,0
3,WEST,48940.90402,0.440935925,0
4,WEST,48731.71383,0.423252899,0
5,WEST,48877.55769,0.409201787,0
6,WEST,49334.16828,0.41295872,0
7,WEST,50209.42884,0.409262709,0
8,WEST,51537.17896,0.410283703,0
9,WEST,52898.46538,0.363200938,0.006256626
10,WEST,53777.07668,0.295501951,0.075876368
11,WEST,54317.64353,0.262083895,0.039045423
12,WEST,59225.06757,0.262714531,0.043238632
13,WEST,63735.45295,0.260696059,0.034929982
14,WEST,68189.05868,0.271471693,0.113202611
15,WEST,72739.0319,0.279723063,0.211138922
16,WEST,77579.94663,0.382972109,0.251024875
17,WEST,82781.49442,0.53505762,0.221631994
18,WEST,86723.83302,0.671329898,0
19,WEST,90040.29087,0.721171301,0
20,WEST,90945.21704,0.728735979,0
21,WEST,82969.30919,0.722283432,0
22,WEST,72516.09212,0.719103254,0
23,WEST,61978.58179,0.723729011,0
24,WEST,55978.05574,0.687010259,0
25,WEST,51051.64417,0.689964032,0
26,WEST,49801.04773,0.687260968,0
27,WEST,48940.90402,0.68181434,0
28,WEST,48731.71383,0.682787501,0
29,WEST,48877.55769,0.691157284,0
30,WEST,49334.16828,0.686956961,0
31,WEST,50209.42884,0.65148422,0
32,WEST,51537.17896,0.603276494,0
33,WEST,52898.46538,0.554984823,0.189203462
34,WEST,53777.07668,0.513002705,0.385337468
35,WEST,54317.64353,0.465492485,0.334269049
36,WEST,59225.06757,0.429304208,0.364100905
37,WEST,63735.45295,0.412034743,0.29143584
38,WEST,68189.05868,0.394493584,0.275601729
39,WEST,72739.0319,0.383460721,0.201304837
40,WEST,77579.94663,0.385321411,0.306263571
41,WEST,82781.49442,0.390685151,0.223590133
42,WEST,86723.83302,0.355510817,0
43,WEST,90040.29087,0.616926094,0
44,WEST,90945.21704,0.717938002,0
45,WEST,82969.30919,0.722104373,0
46,WEST,72516.09212,0.715494125,0
47,WEST,61978.58179,0.710535158,0
48,WEST,55978.05574,0.696127173,0
1,DC_BGE_PEP,9185.145788,0.481857113,0
2,DC_BGE_PEP,8960.140094,0.456739751,0
3,DC_BGE_PEP,8805.384149,0.440935925,0
4,DC_BGE_PEP,8767.746922,0.423252899,0
5,DC_BGE_PEP,8793.986961,0.409201787,0
6,DC_BGE_PEP,8876.139747,0.41295872,0
7,DC_BGE_PEP,9033.615495,0.409262709,0
8,DC_BGE_PEP,9272.50258,0.410283703,0
9,DC_BGE_PEP,9517.423471,0.363200938,0.006256626
10,DC_BGE_PEP,9675.50208,0.295501951,0.075876368
11,DC_BGE_PEP,9772.760169,0.262083895,0.039045423
12,DC_BGE_PEP,10655.69755,0.262714531,0.043238632
13,DC_BGE_PEP,11467.20026,0.260696059,0.034929982
14,DC_BGE_PEP,12268.48724,0.271471693,0.113202611
15,DC_BGE_PEP,13087.11254,0.279723063,0.211138922
16,DC_BGE_PEP,13958.08365,0.382972109,0.251024875
17,DC_BGE_PEP,14893.9394,0.53505762,0.221631994
18,DC_BGE_PEP,15603.23987,0.671329898,0
19,DC_BGE_PEP,16199.93267,0.721171301,0
20,DC_BGE_PEP,16362.74582,0.728735979,0
21,DC_BGE_PEP,14927.7308,0.722283432,0
22,DC_BGE_PEP,13047.0015,0.719103254,0
23,DC_BGE_PEP,11151.10627,0.723729011,0
24,DC_BGE_PEP,10071.49938,0.687010259,0
25,DC_BGE_PEP,9185.145788,0.689964032,0
26,DC_BGE_PEP,8960.140094,0.687260968,0
27,DC_BGE_PEP,8805.384149,0.68181434,0
28,DC_BGE_PEP,8767.746922,0.682787501,0
29,DC_BGE_PEP,8793.986961,0.691157284,0
30,DC_BGE_PEP,8876.139747,0.686956961,0
31,DC_BGE_PEP,9033.615495,0.65148422,0
32,DC_BGE_PEP,9272.50258,0.603276494,0
33,DC_BGE_PEP,9517.423471,0.554984823,0.189203462
34,DC_BGE_PEP,9675.50208,0.513002705,0.385337468
35,DC_BGE_PEP,9772.760169,0.465492485,0.334269049
36,DC_BGE_PEP,10655.69755,0.429304208,0.364100905
37,DC_BGE_PEP,11467.20026,0.412034743,0.29143584
38,DC_BGE_PEP,12268.48724,0.394493584,0.275601729
39,DC_BGE_PEP,13087.11254,0.383460721,0.201304837
40,DC_BGE_PEP,13958.08365,0.385321411,0.306263571
41,DC_BGE_PEP,14893.9394,0.390685151,0.223590133
42,DC_BGE_PEP,15603.23987,0.355510817,0
43,DC_BGE_PEP,16199.93267,0.616926094,0
44,DC_BGE_PEP,16362.74582,0.717938002,0
45,DC_BGE_PEP,14927.7308,0.722104373,0
46,DC_BGE_PEP,13047.0015,0.715494125,0
47,DC_BGE_PEP,11151.10627,0.710535158,0
48,DC_BGE_PEP,10071.49938,0.696127173,0
1,VA_DOM,17465.99329,0.481857113,0
2,VA_DOM,17038.13422,0.456739751,0
3,VA_DOM,16743.8584,0.440935925,0
4,VA_DOM,16672.28941,0.423252899,0
5,VA_DOM,16722.1861,0.409201787,0
6,VA_DOM,16878.40355,0.41295872,0
7,VA_DOM,17177.8512,0.409262709,0
8,VA_DOM,17632.1064,0.410283703,0
9,VA_DOM,18097.83517,0.363200938,0.006256626
10,VA_DOM,18398.42919,0.295501951,0.075876368
11,VA_DOM,18583.37009,0.262083895,0.039045423
12,VA_DOM,20262.31769,0.262714531,0.043238632
13,VA_DOM,21805.42882,0.260696059,0.034929982
14,VA_DOM,23329.11428,0.271471693,0.113202611
15,VA_DOM,24885.76937,0.279723063,0.211138922
16,VA_DOM,26541.96254,0.382972109,0.251024875
17,VA_DOM,28321.53693,0.53505762,0.221631994
18,VA_DOM,29670.30563,0.671329898,0
19,VA_DOM,30804.94549,0.721171301,0
20,VA_DOM,31114.54246,0.728735979,0
21,VA_DOM,28385.79287,0.722283432,0
22,VA_DOM,24809.49632,0.719103254,0
23,VA_DOM,21204.36101,0.723729011,0
24,VA_DOM,19151.43697,0.687010259,0
25,VA_DOM,17465.99329,0.689964032,0
26,VA_DOM,17038.13422,0.687260968,0
27,VA_DOM,16743.8584,0.68181434,0
28,VA_DOM,16672.28941,0.682787501,0
29,VA_DOM,16722.1861,0.691157284,0
30,VA_DOM,16878.40355,0.686956961,0
31,VA_DOM,17177.8512,0.65148422,0
32,VA_DOM,17632.1064,0.603276494,0
33,VA_DOM,18097.83517,0.554984823,0.189203462
34,VA_DOM,18398.42919,0.513002705,0.385337468
35,VA_DOM,18583.37009,0.465492485,0.334269049
36,VA_DOM,20262.31769,0.429304208,0.364100905
37,VA_DOM,21805.42882,0.412034743,0.29143584
38,VA_DOM,23329.11428,0.394493584,0.275601729
39,VA_DOM,24885.76937,0.383460721,0.201304837
40,VA_DOM,26541.96254,0.385321411,0.306263571
41,VA_DOM,28321.53693,0.390685151,0.223590133
42,VA_DOM,29670.30563,0.355510817,0
43,VA_DOM,30804.94549,0.616926094,0
44,VA_DOM,31114.54246,0.717938002,0
45,VA_DOM,28385.79287,0.722104373,0
46,VA_DOM,24809.49632,0.715494125,0
47,VA_DOM,21204.36101,0.710535158,0
48,VA_DOM,19151.43697,0.696127173,0
1,PA_METED_PPL,9199.350786,0.481857113,0
2,PA_METED_PPL,8973.997116,0.456739751,0
3,PA_METED_PPL,8819.001839,0.440935925,0
4,PA_METED_PPL,8781.306404,0.423252899,0
5,PA_METED_PPL,8807.587024,0.409201787,0
6,PA_METED_PPL,8889.866861,0.41295872,0
7,PA_METED_PPL,9047.586149,0.409262709,0
8,PA_METED_PPL,9286.842677,0.410283703,0
9,PA_METED_PPL,9532.142342,0.363200938,0.006256626
10,PA_METED_PPL,9690.465422,0.295501951,0.075876368
11,PA_METED_PPL,9787.873923,0.262083895,0.039045423
12,PA_METED_PPL,10672.17679,0.262714531,0.043238632
13,PA_METED_PPL,11484.93449,0.260696059,0.034929982
14,PA_METED_PPL,12287.46068,0.271471693,0.113202611
15,PA_METED_PPL,13107.352,0.279723063,0.211138922
16,PA_METED_PPL,13979.67009,0.382972109,0.251024875
17,PA_METED_PPL,14916.97316,0.53505762,0.221631994
18,PA_METED_PPL,15627.37057,0.671329898,0
19,PA_METED_PPL,16224.98617,0.721171301,0
20,PA_METED_PPL,16388.05111,0.728735979,0
21,PA_METED_PPL,14950.81681,0.722283432,0
22,PA_METED_PPL,13067.17893,0.719103254,0
23,PA_METED_PPL,11168.35166,0.723729011,0
24,PA_METED_PPL,10087.07514,0.687010259,0
25,PA_METED_PPL,9199.350786,0.689964032,0
26,PA_METED_PPL,8973.997116,0.687260968,0
27,PA_METED_PPL,8819.001839,0.68181434,0
28,PA_METED_PPL,8781.306404,0.682787501,0
29,PA_METED_PPL,8807.587024,0.691157284,0
30,PA_METED_PPL,8889.866861,0.686956961,0
31,PA_METED_PPL,9047.586149,0.65148422,0
32,PA_METED_PPL,9286.842677,0.603276494,0
33,PA_METED_PPL,9532.142342,0.554984823,0.189203462
34,PA_METED_PPL,9690.465422,0.513002705,0.385337468
35,PA_METED_PPL,9787.873923,0.465492485,0.334269049
36,PA_METED_PPL,10672.17679,0.429304208,0.364100905
37,PA_METED_PPL,11484.93449,0.412034743,0.29143584
38,PA_METED_PPL,12287.46068,0.394493584,0.275601729
39,PA_METED_PPL,13107.352,0.383460721,0.201304837
40,PA_METED_PPL,13979.67009,0.385321411,0.306263571
41,PA_METED_PPL,14916.97316,0.390685151,0.223590133
42,PA_METED_PPL,15627.37057,0.355510817,0
43,PA_METED_PPL,16224.98617,0.616926094,0
44,PA_METED_PPL,16388.05111,0.717938002,0
45,PA_METED_PPL,14950.81681,0.722104373,0
46,PA_METED_PPL,13067.17893,0.715494125,0
47,PA_METED_PPL,11168.35166,0.710535158,0
48,PA_METED_PPL,10087.07514,0.696127173,0
