Gen_Index,Fuel_Cost,Pmin,start_cost,Can_Spin,Min_Up,Min_Down
1,26.70897929,0.4,1610,1,5,4
2,26.70897929,0.4,1100,1,2,1
3,26.70897929,0.4,4400,1,5,4
4,24.86203361,0.4,21900,1,6,6
8,32.46240282,0.4,11600,1,5,4
9,26.8139642,0.4,7900,1,6,6
10,21.70291473,0.4,1100,1,6,6
12,133.0262343,0.25,400,1,2,1
13,22.70655702,0.4,11000,1,6,6
14,28.83917945,0.4,8000,1,6,6
15,21.70291473,0.4,5380,1,6,6
16,21.70291473,0.4,4500,1,6,6
17,30.46096362,0.4,26000,1,5,4
1574,20.89137443,0.4,16000,1,6,6
1575,20.89137443,0.4,16000,1,6,6
1576,0,0,0,1,10,8
1579,0,0,0,1,10,8
1580,0,0,0,1,10,8
1582,0,0,0,1,10,8
1583,0,0,0,1,10,8
1586,0,0,0,1,10,8
1566,5.229563839,0.9,591000,0,20,20
1567,5.229563839,0.9,312500,0,20,20
1616,62.32680556,0.4,2300,1,2,1
1617,46.94115538,0.4,700,1,2,1
1618,46.94115538,0.4,425,1,2,1
1619,46.94115538,0.4,2300,1,2,1
1620,46.94115538,0.4,300,1,2,1
1621,46.94115538,0.4,1100,1,2,1
1622,46.94115538,0.4,1050,1,2,1
1623,0,0,0,1,10,8
1624,49.30792961,0.4,4425,1,2,1
1625,49.30792961,0.4,3000,1,2,1
1626,29.1850897,0.4,12000,1,5,4
1627,29.1850897,0.4,54500,1,5,4
1628,29.1850897,0.4,12000,1,5,4
1629,29.1850897,0.4,54100,1,5,4
1631,29.1850897,0.4,12100,1,5,4
1633,29.1850897,0.4,9400,1,5,4
1634,29.1850897,0.4,9400,1,5,4
1635,29.1850897,0.4,9400,1,5,4
1849,10000,0,0,0,0,0